benchmark,system,label,scenarios,annotations,>50ms,>100ms,>200ms,>500ms,>1000ms,>2000ms
test,DTW,DTW,3795/3802,1054491,41.39068043254992,22.542914069442034,10.696914435495419,3.4761795027174247,1.3745968434059654,0.5679517416459695
test,MM-Arzt,MM-Arzt,3802/3802,1055758,75.54647940152952,59.72808162476628,43.78977000411079,23.822788934585386,13.230399390769476,6.39692050640393
test,MM-Dixon,MM-Dixon,3802/3802,1055758,74.06972052307441,60.943416957295135,48.603467840167916,26.596435925657207,14.84298485069495,7.073022416121876
test,MM-Dixon-Raw,MM-Dixon-Raw,3802/3802,1055758,70.75892392006502,56.90991685594615,45.292576518482456,24.762587638455024,13.68684869070374,6.589578293510446
test,MM_ARZT,MM-Arzt,3802/3802,1055758,75.54647940152952,59.72808162476628,43.78977000411079,23.822788934585386,13.230399390769476,6.39692050640393
test,MM_DIXON,MM-Dixon,3802/3802,1055758,74.06972052307441,60.943416957295135,48.603467840167916,26.596435925657207,14.84298485069495,7.073022416121876
test,MM_DIXON_RAW,MM_DIXON_RAW,3802/3802,1055758,70.75892392006502,56.90991685594615,45.292576518482456,24.762587638455024,13.68684869070374,6.589578293510446
test,MM_HMM,MM_HMM,380/3802,136800,97.96710526315789,96.99122807017544,94.36330409356725,90.16447368421052,86.54459064327486,81.99122807017544
test,OLTW,OLTW,3802/3802,1055758,87.39019737477717,76.38436080995834,62.58877507913745,43.72886589540406,30.380068159559293,18.498557434563605
test,OLTW-Global,OLTW-Global,3802/3802,1055758,69.61396456384891,56.85734799073272,41.28029340057097,21.062118402133823,9.96260506669142,3.656803926657435
test,OLTW-Ours,OLTW-Ours,3802/3802,1055758,73.53190788040442,62.192851013205676,47.93465926850661,28.12756332417088,15.697442027434317,6.667910638612258
test,OLTW_GLOBAL,OLTW-Global,3802/3802,1055758,69.61396456384891,56.85734799073272,41.28029340057097,21.062118402133823,9.96260506669142,3.656803926657435
test,OLTW_OURS,OLTW-Ours,3802/3802,1055758,73.53190788040442,62.192851013205676,47.93465926850661,28.12756332417088,15.697442027434317,6.667910638612258
test,SOA,SOA,3802/3802,1055758,67.6627598370081,43.5265468033394,32.231818276536856,17.083839288927955,10.031749700215391,5.46791973160516
test,SOA-Mono,SOA-Mono,3802/3802,1055758,71.65278406604544,50.01041905436663,39.136241449271516,22.362037512384468,13.694142028760378,7.608182935862196
test,SOA-NN,SOA-NN,2174/3802,621291,49.01374718127254,33.555773381555504,20.93817550873906,10.010928856204258,5.070248884983044,2.754586820024755
test,SOA_MONOTONIC,SOA-Mono,3802/3802,1055758,71.65278406604544,50.01041905436663,39.136241449271516,22.362037512384468,13.694142028760378,7.608182935862196
vienna4x22,DTW,DTW,924/924,103488,27.76070655534941,12.328965677179964,5.345547309833024,1.0638914656771798,0.27732683982683987,0.06377551020408163
vienna4x22,MM_ARZT,MM-Arzt,924/924,103488,67.63006338899196,50.517934446505876,34.95960884353742,15.600842609771181,5.486626468769326,1.4523423005565863
vienna4x22,MM_DIXON,MM-Dixon,924/924,103488,59.80886672850959,46.4536951144094,36.78880643166357,18.503594619666046,7.207598948670377,2.2775587507730366
vienna4x22,OLTW,OLTW,924/924,103488,81.26256184291898,64.92830086580086,45.76182745825603,22.76978973407545,10.312306740878169,3.358843537414966
vienna4x22,OLTW_GLOBAL,OLTW-Global,924/924,103488,59.21459492888065,45.05836425479283,30.300131416202845,12.491303339517625,3.804305813234385,0.950834879406308
vienna4x22,OLTW_OURS,OLTW-Ours,924/924,103488,64.57753555967841,51.73353432282004,37.7106524427953,18.982877241805813,7.811533704390847,1.9857374768089056
vienna4x22,SOA,SOA,924/924,103488,51.725803957946816,27.475649350649352,17.816558441558442,7.479128014842301,2.9394712430426715,1.337353123067409
vienna4x22,SOA_MONOTONIC,SOA-Mono,924/924,103488,54.486510513296224,31.22101113172542,21.67207792207792,9.990530303030303,4.297116573902288,2.045647804576376
